attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
24.0,-3.75,-17.58,-7.67,-3.37,-1.73,-16.8,-14.79,-6.02,-18.46,-14.01
26.0,-0.77,-15.46,-2.18,-3.44,-4.51,-14.2,-13.38,-0.77,-17.0,-16.86
28.0,-2.76,-13.68,-10.94,-0.76,0.0,-14.86,-11.03,-6.69,-14.85,-5.6
30.0,-1.71,-11.98,-10.6,-0.73,-0.68,-9.61,-9.71,-6.93,-11.09,0.0
32.0,-1.95,-7.38,-9.5,-1.04,-0.93,-11.11,-8.27,-4.25,-10.1,-0.69
34.0,-2.35,-6.23,-10.07,-0.32,-1.84,-8.01,-6.98,-4.38,-11.9,-2.38
36.0,-1.02,-12.0,-4.55,-0.35,0.0,-6.0,-2.44,-3.72,-8.91,0.0
38.0,-1.29,-6.68,-1.07,0.0,-0.47,-3.17,-1.04,-0.6,-2.66,0.0
40.0,0.0,-2.85,-2.44,-0.5,0.0,0.0,0.0,0.0,-0.57


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,-27.26,-26.9,-3.96,-7.77,-26.24,-27.75,0.0,-27.56,-15.44
2.0,-1.29,-27.5,-27.67,-2.5,-2.32,-28.36,-27.8,-16.99,-27.13,-20.93
4.0,-5.59,-27.29,-27.16,-6.79,-2.69,-27.99,-26.22,-20.53,-27.57,-22.14
6.0,-5.24,-27.33,-5.46,-1.22,-3.49,-19.93,-26.73,-11.71,-27.12,-19.34
8.0,-4.8,-27.04,-9.37,-2.55,-6.01,-27.4,-25.77,-10.92,-26.68,-24.52
10.0,-1.22,-26.52,-26.39,-3.54,-8.73,-27.05,-25.33,-13.64,-26.56,-26.85
12.0,-3.78,-25.91,-15.59,-1.31,-1.31,-26.64,-25.24,-19.69,-26.09,-23.83
14.0,-3.56,-25.47,-16.76,-2.52,0.0,-26.81,-25.07,-8.49,-25.59,-24.82
16.0,-5.76,-11.37,-16.37,-1.08,-7.19,-23.27,-23.35,-18.09,-25.8,-22.01
18.0,-7.8,-17.88,-19.21,-4.65,-4.53,-21.47,-22.35,-15.67,-24.61,-23.89
20.0,-8.99,-21.66,-22.54,-4.26,-7.07,-21.62,-20.16,-9.15,-23.27,-14.37
22.0,-2.06,-20.56,-21.39,-2.4,-1.96,-20.33,-18.61,-12.56,-21.84,-13.55
24.0,-4.42,-18.81,-4.13,-3.88,-1.96,-18.59,-16.61,-4.07,-20.21,-14.12
26.0,-0.91,-17.07,0.0,-3.93,-5.03,-15.78,-15.0,-0.83,-18.59,-15.25
28.0,-3.08,-15.88,-12.3,-0.87,0.0,-0.72,-11.96,-7.57,-16.43,-6.32
30.0,-1.99,-13.7,-7.53,-0.83,-0.68,-4.29,-10.89,-8.1,-12.65,0.0
32.0,-2.05,-9.24,-7.7,-1.29,-1.03,-10.01,-8.14,-4.95,-4.46,-0.93
34.0,-2.62,-3.31,-5.33,-0.42,-2.54,-3.33,-1.9,-5.48,-5.63,-1.23
36.0,-1.55,-0.75,-1.56,-0.6,0.0,-1.38,0.0,-1.38,-7.15,0.0
38.0,-0.31,-2.67,-1.55,0.0,-0.81,-2.04,0.0,0.0,-1.34,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,-25.43,-25.02,-3.43,-7.8,-24.43,-26.09,0.0,-25.68,-6.38
2.0,-1.17,-25.28,-25.38,-2.25,-2.14,-26.34,-25.91,-15.76,-21.02,-6.56
